model,threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
Random Forest,0.24000000000000002,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.25,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.26,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.27,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.28,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.29000000000000004,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.3,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.31,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.32,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.33,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.34,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.35000000000000003,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.36000000000000004,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.37,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.38,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.39,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.4,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.41000000000000003,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.42000000000000004,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.43,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.44,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.45,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.46,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.47000000000000003,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.48000000000000004,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.49,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.5,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.51,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.52,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.53,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.54,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.55,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.56,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.5700000000000001,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.5800000000000001,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.59,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.6,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.61,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.62,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.63,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.64,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.65,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.66,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.67,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.68,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.6900000000000001,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.7000000000000001,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.7100000000000001,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
